Heap Info: length: 2228184 flags: 5
HHeap Stats: nUsedNodes:10006 nFreeNodes:-1531 nCalls:(M:11355173 R:1485618 F:11345167) nBytes:-2407776
Timing:(M:14273776 R:1312643 F:369350)
ptr  len  isfree
0x0xc1ef48 496 0
0x0xc1f138 16 0
0x0xc1f148 496 0
0x0xc1f338 536 0
0x0xc1f550 16 0
0x0xc1f560 520 0
0x0xc1f768 520 0
0x0xc1f970 496 0
0x0xc1fb60 16 0
0x0xc1fb70 488 0
0x0xc1fd58 488 0
0x0xc1ff40 16 0
0x0xc1ff50 488 0
0x0xc20138 488 0
0x0xc20320 488 0
0x0xc20508 144 0
0x0xc20598 144 0
0x0xc20628 16 0
0x0xc20638 16 0
0x0xc20648 488 0
0x0xc20830 16 0
0x0xc20840 488 0
0x0xc20a28 16 0
0x0xc20a38 488 0
0x0xc20c20 16 0
0x0xc20c30 488 0
0x0xc20e18 264 0
0x0xc20f20 488 0
0x0xc21108 16 0
0x0xc21118 488 0
0x0xc21300 392 0
0x0xc21488 488 0
0x0xc21670 488 0
0x0xc21858 488 0
0x0xc21a40 440 0
0x0xc21bf8 488 0
0x0xc21de0 16 0
0x0xc21df0 488 0
0x0xc21fd8 496 0
0x0xc221c8 496 0
0x0xc223b8 496 0
0x0xc225a8 496 0
0x0xc22798 16 0
0x0xc227a8 16 0
0x0xc227b8 16 0
0x0xc227c8 16 0
0x0xc227d8 16 0
0x0xc227e8 496 0
0x0xc229d8 256 0
0x0xc22ad8 496 0
0x0xc22cc8 16 0
0x0xc22cd8 16 0
0x0xc22ce8 64 0
0x0xc22d28 16 0
0x0xc22d38 496 0
0x0xc22f28 440 0
0x0xc230e0 496 0
0x0xc232d0 496 0
0x0xc234c0 16 0
0x0xc234d0 16 0
0x0xc234e0 16 0
0x0xc234f0 496 0
0x0xc236e0 16 0
0x0xc236f0 496 0
0x0xc238e0 496 0
0x0xc23ad0 16 0
0x0xc23ae0 16 0
0x0xc23af0 496 0
0x0xc23ce0 16 0
0x0xc23cf0 16 0
0x0xc23d00 16 0
0x0xc23d10 496 0
0x0xc23f00 488 0
0x0xc240e8 16 0
0x0xc240f8 488 0
0x0xc242e0 496 0
0x0xc244d0 16 0
